id,会社名,通称・旧社名,本社所在地,展開エリア,拠点数,規模区分(大/中/小),メガ系列(有/無/系列名),セグメント(A/B/C/D),主要取扱メーカー,TOKIO取扱(○/×/不明),公式URL,問い合わせフォームURL,メールアドレス,電話番号,推奨送信方法(メール/フォーム/電話),優先度(1-3),送信予定日,送信済,返信,備考
TH01,株式会社光美容化学,光美容化学／HIKARI,青森県弘前市大字代官町21,青森・秋田・岩手・宮城・埼玉・北海道（東北中心）,8,中,光美容化学（自社が東北のメガ系列核）,A,ミルボン／資生堂プロフェッショナル／ナプラ／ルベル（タカラベルモント）／ホーユー／日本ロレアル,不明,http://www.hikari-b.co.jp/,http://www.hikari-b.co.jp/contact/,,0172-36-1234,フォーム,1,,,,"取得不可（公式サイト・Baseconnect等がプロキシで403。検索スニペットで補完）。拠点: 弘前本社／青森支社（青森市篠田3-8-20）／八戸地区本部（八戸市小中野3-6-13）／秋田支社（秋田市東通8-1-90）／盛岡／仙台（太白区・宮城野区）／さいたま／札幌 → 拠点数は要確認。1956年設立、従業員20〜50名。取扱メーカーは検索結果ベースで要確認。TOKIO取扱は要確認。根拠: hikari-b.co.jp/company/, /product/, /contact/, mapion, Baseconnect"
TH02,株式会社アポロ商事,アポロ商事,宮城県仙台市宮城野区中野字神明156-3,東北・北海道・関東,5,中,アポロ商事（IBSグループ）,A,要確認,不明,https://www.apolloshoji.co.jp/,https://apolloshoji.co.jp/contact/,,022-352-5571,フォーム,1,,,,"取得不可（公式サイトがプロキシで403。検索スニペットで補完）。拠点: 仙台本社・仙台スタジオ／札幌支店（豊平区平岸）／盛岡営業所・盛岡スタジオ／郡山（福島）営業所／釧路営業所。創業約40年。IBS（i-bs.jp）のGROUP COMPANYページに掲載 → グループ詳細は要確認。取扱メーカーはサイト未取得のため要確認。根拠: apolloshoji.co.jp/about/, /contact/, i-bs.jp/temp.html, Baseconnect"
TH03,株式会社オーゼット商会,オーゼット商会／OZ,山形県山形市宮町一丁目3-39,山形・宮城・青森,3,中,要確認,C,日本ロレアル／ミルボン／ナプラ（山形県唯一の三大メーカー正規代理店と自称）／ピアセラボ／デミコスメティクス／サニープレイス／三資堂製薬 ほか,不明,https://ozshoukai.com/,https://ozshoukai.com/contact/,,023-622-3840,フォーム,2,,,,"取得不可（公式サイトがプロキシで403。検索スニペットで補完）。拠点: 山形本社／仙台営業所（青葉区八幡5-9-32 TEL022-272-2890）／青森営業所（弘前市撫牛子2-6-19 TEL0172-34-9497、㈱オーゼットトーオー名義）。代表取締役 佐藤智幸。受付9:00-17:30、日月定休。TOKIO取扱は要確認。根拠: ozshoukai.com/company/, /brand/, /contact/, itp.ne.jp"
TH04,株式会社キムラビューティサプライ,キムラビューティサプライ,山形県山形市流通センター3丁目1-3,南東北（山形・宮城）,2,小,要確認,C,要確認（ミルボン取扱ありとの検索記述、アペティート化粧品取扱ディーラー掲載）,不明,https://www.kimura-beauty.com/,要確認,,023-622-9252／0120-351-324,電話,3,,,,"取得不可（公式サイトがプロキシで403。検索スニペットで補完）。1957年5月1日設立、代表 木村和明。拠点: 山形本社／仙台営業所（青葉区中山吉成3-8-25 TEL022-277-3502）。事業: 化粧品・医薬品・エステ用品・美容機器・ヘア美容商品の卸小売、サロン向けPC販売。問い合わせフォームの有無は要確認（平日9:00-17:00電話受付）。キムラ株式会社（kimura-co.jp）との関係は要確認。根拠: kimura-beauty.com/?page_id=19, itp.ne.jp, Baseconnect"
TH05,株式会社タチカワ（秋田支店・仙台支店・福島支店）,タチカワ／JBL TACHIKAWA,新潟県新潟市東区大形本町6-8-14（本社）／東北拠点: 秋田市・仙台市・会津若松市,新潟・東北（秋田・宮城・福島）・東京,6,中,BIC HD（検索結果に「BIC HDをはじめ複数メーカーを取扱」との記述、系列かは要確認）,A,要確認,不明,https://www.jbl-tachikawa.co.jp/,要確認,sales@jbl-tachikawa.co.jp,025-275-6666（本社）／018-887-5522（秋田）／022-227-3141（仙台）／080-4600-7879（福島）,メール,2,,,,"取得不可（公式サイトがプロキシで403。検索スニペットで補完）。メールは検索スニペット上で公式会社情報ページ由来として表示されたもの → 直接確認できていないため送信前に要確認。東北拠点: 秋田支店（秋田市東通1-11-7）／仙台支店（青葉区中央2-2-10 仙都会館2F）／福島支店（会津若松市花春町2-34）。他に東京支店（港区芝3-3-12）、新潟物流センター。取扱メーカーは /makers/ ページ未取得のため要確認。根拠: jbl-tachikawa.co.jp/company/, /makers/, Baseconnect支店ページ, kando-fukushima.jp"
TH06,株式会社アルファコーポレーション,アルファコーポレーション（ガモウグループ）,岩手県盛岡市愛宕町2-41,東北（岩手・宮城・秋田・山形）,3,中,ガモウ,A,要確認（ガモウ系のためミルボン等主要メーカー取扱と推定、要確認）,不明,http://www.alpha-corpo.co.jp/,要確認,,0120-086-720,電話,2,,,,"追加調査分。取得不可（公式サイト・gamo.co.jpがプロキシで403。検索スニペットで補完）。1955年12月創業。拠点: 盛岡本社／仙台営業所／大館営業所（秋田）ほか、山形も営業エリア → 拠点数は要確認。ガモウ公式グループ会社ページに掲載。受付平日10:00-17:00。根拠: gamo.co.jp/about/profile/group/alpha-corpo/, alpha-corpo.co.jp, mynavi"
TH07,株式会社瀬戸商会,瀬戸商会,福島県郡山市安積3丁目12,福島（郡山・いわき）,2,小,要確認,C,要確認（AQUSH/doal取扱ディーラー掲載）,不明,https://www.seto-beauty.co.jp/,要確認,,024-937-1233,電話,3,,,,"追加調査分。取得不可（公式サイトがプロキシで403。検索スニペットで補完）。1947年9月創業、1957年5月設立、資本金5000万円。拠点: 本社・郡山店（安積3-12）／いわき店（いわき市平下片寄字北作6 TEL0246-38-4114）。事業: 美容用品卸販売、不動産賃貸、イベントホール。問い合わせフォーム有無は要確認。根拠: seto-beauty.co.jp/gaiyou, seto-beauty-recruit.jp/company/"
KK01,株式会社センビホールディングス,"センビHD／Senbi,Inc.",栃木県宇都宮市西川田本町2-10-51,関東（栃木・茨城・群馬・千葉・埼玉）・福島,5,中,センビHD,A,ミルボン／アリミノ／ナプラ／ロレアル・ケラスターゼ／ルベル（タカラベルモント）／白鶴／フォンテーヌ ほか,不明,https://www.senbi-beauty.com/,https://www.senbi-beauty.com/contact/,,028-645-3911,フォーム,1,,,,取得不可（公式サイトはegressプロキシで遮断、検索スニペット・法人DBから補完）。持株会社。グループ会社：宇都宮センビ／小山センビ／郡山センビ／さいたまセンビ／Leaps／DEGRESS（首都圏オフィス）。拠点数はグループ事業会社5社として記載（営業所含む実数は要確認）。センビスタジオ（本社・宇都宮・郡山・小山）で教育セミナー開催。取扱メーカー一覧 https://www.senbi-beauty.com/supplier/ 。FAX 028-659-4405。メール記載有無は要確認
KK02,株式会社宇都宮センビ,,栃木県宇都宮市西川田本町2-10-51,栃木・茨城,4,中,センビHD,A,ミルボン／アリミノ／ナプラ／ロレアル・ケラスターゼ／ルベル ほか（グループ共通）,不明,https://www.senbi-beauty.com/custom_map/%E3%88%B1%E5%AE%87%E9%83%BD%E5%AE%AE%E3%82%BB%E3%83%B3%E3%83%93/,https://www.senbi-beauty.com/contact/,,028-666-0077,フォーム,2,,,,取得不可（公式サイト遮断）。拠点：本社／栃木営業所／那須オフィス／水戸支店（各所の個別住所・電話は要確認、検索結果では本社と同一表示）。従業員32名（SalesNow）。FAX 028-659-4407。センビHD傘下
KK03,株式会社小山センビ,,栃木県小山市西城南2-10-3,栃木・群馬・茨城・千葉,4,中,センビHD,A,ミルボン／アリミノ／ナプラ／ロレアル・ケラスターゼ／ルベル ほか（グループ共通）,不明,https://www.senbi-beauty.com/custom_map/%E5%B0%8F%E5%B1%B1%E6%94%AF%E7%A4%BE/,https://www.senbi-beauty.com/contact/,,0285-31-1364,フォーム,2,,,,取得不可（公式サイト遮断）。拠点：本社／群馬営業所（前橋市上新田町4-4 TEL027-212-2898）／つくば営業所（つくば市学園の森3-29-5 TEL029-886-8310）／千葉営業所（柏市柏4-6-4 5F）。従業員28名。センビHD傘下
KK04,株式会社郡山センビ,旧センビ商事郡山営業所,福島県郡山市香久池2-16-11,福島,2,小,センビHD,A,ミルボン／アリミノ／ナプラ／ロレアル・ケラスターゼ／ルベル ほか（グループ共通）,不明,https://www.senbi-beauty.com/custom_map/%E3%88%B1%E9%83%A1%E5%B1%B1%E3%82%BB%E3%83%B3%E3%83%93/,https://www.senbi-beauty.com/contact/,senbiko@titan.ocn.ne.jp,024-935-2725,メール,2,,,,取得不可（公式サイト遮断）。メールアドレスは公式サイト内㈱郡山センビページの検索スニペットに記載されていたもの（直接取得は未確認・要確認）。拠点：本社／福島営業所。FAX 024-935-2726。センビHD傘下
KK05,株式会社さいたまセンビ,旧春日部センビ（合併）／センビ商事,埼玉県さいたま市北区吉野町1-410-3,埼玉,1,小,センビHD,A,ミルボン／アリミノ／ナプラ／ロレアル・ケラスターゼ／ルベル ほか（グループ共通）,不明,https://www.senbi-beauty.com/custom_map/%E3%88%B1%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E3%82%BB%E3%83%B3%E3%83%93/,https://www.senbi-beauty.com/contact/,,048-729-4331,フォーム,2,,,,取得不可（公式サイト遮断）。株式会社春日部センビと合併。代表 寺澤宏起。採用サイト https://job-gear.net/senbi/ 。拠点数は本社のみ確認（要確認）。センビHD傘下
KK06,株式会社Leaps,リープス,埼玉県さいたま市南区太田窪5-23-2 メゾン恵比寿1階B,埼玉・首都圏,1,小,センビHD,A,ミルボン／アリミノ／ナプラ／ロレアル・ケラスターゼ／ルベル ほか（グループ共通・要確認）,不明,https://leaps2022.com/,要確認,,048-767-8290,電話,3,,,,取得不可（leaps2022.com・senbi-beauty.com とも遮断）。センビHDサイトのグループ拠点一覧に㈱Leapsとして掲載。同名の別業種企業（リープス内装、合同会社LEAPS港区）多数あり混同注意。グループ共通フォーム https://www.senbi-beauty.com/contact/ も利用可
KK07,株式会社YAMAZAKI,ヤマザキ／ECサイト「YAMAZAKI Prime Store」,群馬県前橋市日吉町4-38-19,北関東（群馬・栃木・茨城）・新潟・長野・北陸・東京・神奈川・宮崎,12,大,無,D,要確認,不明,https://yrbs.co.jp/,https://yrbs.co.jp/page/contact.html,maebashi@yrbs.co.jp,027-234-2748,メール,1,,,,"取得不可（yrbs.co.jp・y-ps.net とも遮断）。メールはECサイト y-ps.net 特商法表記（検索スニペット）に記載のもの（前橋大渡町1-18-3 TEL027-289-9333）で本社代表メールかは要確認。拠点：前橋本社／太田／小山／新潟／長野／横浜／つくば／北陸／東京2拠点／宮崎／流通センター（サイトマップ検索結果より）。設立1983年、資本金1,000万円、従業員約74〜100名、代表 山崎貢。EC「YAMAZAKI Prime Store」 https://y-ps.net/ 運営。ハラ㈱の取扱ディーラー一覧に掲載"
KK08,ニューアルファーサポート有限会社,NEW ALPHA SUPPORT,群馬県前橋市元総社町531-5,群馬,1,小,無,C,要確認,不明,https://www.new-alpha-support.com/,要確認,,027-251-4647,電話,3,,,,取得不可（公式サイト遮断）。設立1972年5月、従業員5〜10名。フリーダイヤル0120-11-4647。美容材料卸に加え店舗設計・施工・セミナー開催を実施。J-Coin Pay加盟
ST01,株式会社東和,TOWA Eternal Beauty,東京都江戸川区船堀3-9-4,東京東部・首都圏（要確認）,要確認,中,無,D,アペティート化粧品／アリミノ（アンリサンク）／他（取扱メーカーページあり・詳細取得不可）,不明,https://www.towa22.co.jp/,https://www.towa22.co.jp/contact/,towa@towa22.co.jp,03-3687-7893,メール,1,,,,公式サイト取得不可（egress proxy遮断）。メールtowa@towa22.co.jpは検索結果スニペット（Facebook/会社情報）で確認、サイト本文での明記は要確認。1967年創業・1971年法人化、従業員50-149名。根拠: https://www.towa22.co.jp/company/ https://www.towa22.co.jp/contact/ https://www.facebook.com/towa22/
ST02,株式会社レボ,REVO／REVO+（レボプラス）／B-ZONE立川店,東京都立川市柴崎町2-11-20,東京多摩・首都圏＋EC全国,1,小,無,D,要確認（大手メーカー正規代理店として10万点以上取扱と記載）,不明,https://www.e-revo.co.jp/,https://www.e-revo.co.jp/contact/,,042-526-3350,フォーム,1,,,,公式サイト取得不可（egress proxy遮断）。1946年創業・1974年設立、資本金1000万円、従業員25名、年商22億円。EC「REVO+」（b-zone.biz、美容師約9万人利用）運営。根拠: https://www.e-revo.co.jp/company/ https://www.b-zone.biz/help/about
ST03,WILL株式会社,旧社名アイン,東京都板橋区,東京・首都圏（要確認）,要確認,要確認,無,C,要確認（パートナーページあり・取得不可）,不明,https://www.will-inc.biz/,要確認,,03-5997-7001,電話,2,,,,公式サイト取得不可（egress proxy遮断）。電話番号は電話帳系サイト（24u.jp/e-shops）で確認。番地・設立・拠点は要確認。根拠: https://www.will-inc.biz/about/ https://www.will-inc.biz/partners/
ST04,株式会社荒井美材,荒井美材（アライビザイ）,東京都杉並区高円寺南4-18-11,東京西部（高円寺周辺）,1,小,無,C,要確認（ホームケア商材・医療提携メニュー中心。フロムアース等）,不明,https://arai-bizai.com/,要確認,,03-3312-7090,電話,3,,,,公式サイト取得不可（egress proxy遮断）。エバーグループ・ベル美容外科クリニックの医療提携ディーラー。法人番号2011301012474。根拠: https://arai-bizai.com/ https://houjin.jp/c/2011301012474
ST05,株式会社ビフォレ,ビフォレ,東京都中野区沼袋2-2-4,東京・首都圏（要確認）,1,小,無,C,要確認（30社以上・5000点以上を自社倉庫管理と記載）,不明,https://www.beautybeforet.com/,要確認,,要確認,電話,3,,,,公式サイト取得不可（DNS解決不可）。2019年12月設立、法人番号3011201021863。電話番号は検索結果に無し。根拠: https://www.beautybeforet.com/ https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3011201021863
ST06,有限会社ミナト,ミナト,神奈川県海老名市東柏ケ谷5-7-5,神奈川県中心,1,小,無,C,要確認,不明,https://minato8664.simdif.com/,無,,046-232-8664,電話,3,,,,公式サイト取得不可（egress proxy遮断）。FAX 046-232-5619。検索結果でメールアドレスの記載はあるが難読化（[email protected]）のため取得不可。取引実績900店舗以上。営業9-18時（日・火休）。根拠: https://itp.ne.jp/info/147988490200000899/
ST07,株式会社きくや美粧堂,きくや美粧堂,東京都渋谷区恵比寿西1-13-7 KB'Sアーチビル,全国（東京・岐阜ほか複数支店）,要確認,大,きくや美粧堂（本体）,A,要確認（取扱メーカーページあり・取得不可）,不明,https://www.kikuya-bisyodo.co.jp/,要確認,,要確認,電話,2,,,,追加調査分。公式サイト取得不可（egress proxy遮断）。1948年創業・1956年1月設立、資本金4300万円、従業員400名。2023年Head Office Second・2025年恵比寿支店を恵比寿西1-16-6に開設。根拠: https://www.kikuya-bisyodo.co.jp/about/ https://opencorpdata.com/lei/3538001ODX5YNC440F06
ST08,株式会社ガモウ,GAMO,東京都港区南青山2-27-25 ヒューリック南青山ビル,全国（東北〜九州、グループ含め約50拠点）,23,大,ガモウ（本体）,A,要確認（取扱メーカーページあり・取得不可。4万アイテム以上）,不明,https://www.gamo.co.jp/,要確認,,03-5414-6581,電話,2,,,,追加調査分。公式サイト取得不可（egress proxy遮断）。1927年創業、資本金6000万円、従業員517名（2025/10）、売上337億円（2025/3期）。グループ会社にガモウ関西・ガモウリッタ・ガモウ広島・ガモウ北海道等。日経MJ卸売業調査ディーラー売上No.1。根拠: https://www.gamo.co.jp/about/profile/outline/ https://www.gamo.co.jp/about/profile/base/
ST09,株式会社フジシン,フジシン,東京都新宿区住吉町8-12,全国（東京本社・大阪・青森営業所）,3,中,無,A,要確認（世界の有名ブランド化粧品中心。取り扱いブランドページあり・取得不可）,不明,https://fujishin.co.jp/,要確認,,03-3357-4141,電話,2,,,,追加調査分。公式サイト取得不可（egress proxy遮断）。1956年設立、従業員183〜226名（グループ計）。スタジオFASTAⅡ運営。根拠: https://fujishin.co.jp/about/ https://www.mapion.co.jp/phonebook/M26016/13104/21399169276/
KH01,株式会社タチカワ,旧BICタチカワ（2017〜2021年はBIC HD傘下）,新潟県新潟市東区大形本町6-8-14,新潟を本拠に東北・関東（東京支店あり）／詳細要確認,要確認,大,無（2021年8月31日にBIC HDとの資本関係解消・独立）,A,要確認（サイト取得不可のため取扱ブランド未確認）,不明,https://www.jbl-tachikawa.co.jp/,https://www.jbl-tachikawa.co.jp/contact/,sales@jbl-tachikawa.co.jp,025-275-6666,フォーム,1,,,,"取得不可（jbl-tachikawa.co.jp が egress proxy で遮断、検索スニペットのみ）。設立1946年4月／従業員115名（正社員80名）／代表 小西彰弘／FAX 025-279-1708。メール sales@jbl-tachikawa.co.jp・planning@jbl-tachikawa.co.jp（宣伝企画部門）は検索結果由来で本文未確認のため要確認。BIC HD関係：2016年12月ダリア（福岡・業界3位）とタチカワ（業界6位）が資本業務提携、2017年2月共同株式移転で持株会社BICホールディングス設立（ダリア＋タチカワ＋トーコー合計売上230億円で業界2位）。コロナ下の意思決定迅速化のため2021年8月31日をもって資本業務提携解消、9月より「タチカワ」として再スタート（ロゴ刷新、業務提携は継続方針）。根拠: beautopia.jp/48486, mememag.j-mode.co.jp/news/28305, shinbiyo.com/sj/?p=10145, value-press.com/pressrelease/170843, baseconnect（東京支店の記載）"
KH02,キムラ株式会社,北陸シェアNo.1美容ディーラー（金沢店あり）,福井県福井市西開発4丁目608,福井・石川・富山・滋賀・岐阜,要確認,中,要確認,A,ミルボン／タカラベルモント（ルベル）／他（取扱ブランドページあり）,不明,https://kimura-co.jp/,https://kimura-co.jp/contact/（検索結果でフォームあり・URL要確認）,,0776-53-1234,フォーム,2,,,,"取得不可（kimura-co.jp・recruit-kimura.com が遮断）。本社は金沢ではなく福井市（金沢店: 石川県金沢市大友1-96 TEL 076-237-5255）。設立1960年10月／従業員57名／代表 遠山晴能。営業拠点ページ kimura-co.jp/field-office/ あり（拠点数は未取得）。Instagramで新規取引はDM受付と記載。金沢の「株式会社キムラ３９」「キムラビューティサプライ」は別会社。根拠: kimura-co.jp/company-overview/, 291jobs.pref.fukui.lg.jp, instagram.com/kimura.beauty"
KH03,株式会社彦田,HIKOTA,石川県金沢市尾張町1-4-12,北陸三県（石川・富山・福井）／通販は全国,5,中,ガモウ（GAMOグループ会社）,A,国内外200社以上・2万点超（GAMOグループオリジナル／オリオセタ／モロッカンオイル 等）／大手メーカーは要確認,不明,https://www.hikota.com/,https://www.hikota.com/contact/,,076-264-3221,フォーム,1,,,,"取得不可（hikota.com・gamo.co.jp が遮断、検索スニペットのみ）。創業1946年。拠点: 本社（金沢）／富山支店 076-492-5560／福井支店 0776-97-9930／小松営業所 0761-22-5429／七尾営業所 0767-53-5551。営業9:00-18:00 日月祝休（本社は日祝休）。ECサイト HIKOTA E-SHOP（eshop.hikota.com）運営、スタジオ・セミナー多数（DX/EC姿勢あり）。inquiryページ hikota.com/inquiry/ も存在。根拠: hikota.com/aboutus/overview/, hikota.com/aboutus/branch/, gamo.co.jp/about/profile/group/hikota/"
KH04,株式会社Trotsやよい,トロッツやよい,山梨県甲府市蓬沢町1296-1,山梨県内全域,1,小,要確認,C,要確認,不明,要確認（公式サイト未確認・法人番号5090001002404）,無,,055-235-1666,電話,3,,,,要確認：公式サイトが検索で見つからず（タウンページ・Yahoo!ロコ・engage求人のみ）。理美容機械器具・用品の卸、美容室向けルートセールス（社有車で山梨全域）。営業時間 平日9:00-17:00。engage: en-gage.net/yayoi_trots/。ハラ株式会社の取扱ディーラー一覧（hara-beauty.jp/dealer/）に掲載の可能性あり（取得不可）
KH05,有限会社プロショップゼスト,ゼスト（長野市）,長野県長野市平林1-16-22,長野県内,1,小,要確認,C,要確認（取り扱いメーカーページ proshop-zest.co.jp/brand/ あり）,不明,https://proshop-zest.co.jp/,https://proshop-zest.co.jp/contact/,,026-259-6784,フォーム,3,,,,"取得不可（proshop-zest.co.jp が遮断）。追加調査（長野）。FAX 026-259-6794、営業9:00-18:30 日月休。長野県内の美容室・理容室向け業務用品卸（カラー・パーマ材・店販・機材）、新規開店・改装支援。新規お取引ページ proshop-zest.co.jp/wholesale/ あり。同市に「トピーゼスト株式会社（ミルボン取扱）」あり（関係要確認）。根拠: proshop-zest.co.jp/about/, companyinformation.jp/corp/7100002004453/"
KH06,ビーエムサプライ株式会社,BMサプライ,富山県富山市赤田849-3,富山・石川・福井,3,中,要確認,C,要確認（取扱メーカーページ bms-net.com/maker/ あり）,不明,https://www.bms-net.com/,https://www.bms-net.com/contact/,,076-491-3605,フォーム,2,,,,"取得不可（bms-net.com が遮断）。追加調査（富山）。代表 前田利雄／従業員20名。拠点: 富山本社 076-491-3605／石川支店（金沢市馬替2-38-4）076-298-8192／福井支店（福井市和田東1-2102）0776-50-2804。根拠: bms-net.com/company/, gbiz 3230001002572, baseconnect"
